state,placefp,cbsa,stab,placenm,pop2k,popinmsa,msamdivname,countynumeric,place,cbd_retail_long,cbd_retail_lat,arcgis_match,arcgis_long,arcgis_lat
53,63000,42644,WA,Seattle city,563374,563374,"Seattle-Bellevue-Everett, WA Metropolitan Division",33,Seattle,-122.335,47.6077,M,-122.32944,47.603556
12,74200,42680,FL,Vero Beach South CDP,20362,20362,"Sebastian-Vero Beach, FL Metropolitan Statistical Area",61,Vero Beach,,,M,-80.394217,27.638851
55,72975,43100,WI,Sheboygan city,50792,50792,"Sheboygan, WI Metropolitan Statistical Area",117,Sheboygan,-87.712502,43.751598,M,-87.713748,43.749784
48,67496,43300,TX,Sherman city,35082,35082,"Sherman-Denison, TX Metropolitan Statistical Area",181,Sherman,-96.611603,33.638401,M,-96.609127,33.63604
22,70000,43340,LA,Shreveport city,200145,200145,"Shreveport-Bossier City, LA Metropolitan Statistical Area",17,Shreveport,-93.749298,32.511799,M,-93.74726800000001,32.514614
19,73335,43580,IA,Sioux City city,85013,85013,"Sioux City, IA-NE-SD Metropolitan Statistical Area",193,Sioux City,-96.403801,42.493801,M,-96.420939,42.499814
46,59020,43620,SD,Sioux Falls city,123975,123975,"Sioux Falls, SD Metropolitan Statistical Area",99,Sioux Falls,-96.727303,43.545799,M,-96.731278,43.545351
18,71000,43780,IN,South Bend city,107789,107789,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area",141,South Bend,-86.250397,41.674702,M,-86.254037,41.679054
45,68290,43900,SC,Spartanburg city,39673,39673,"Spartanburg, SC Metropolitan Statistical Area",83,Spartanburg,-81.931702,34.9505,M,-81.934867,34.948251
53,67000,44060,WA,Spokane city,195629,195629,"Spokane, WA Metropolitan Statistical Area",63,Spokane,-117.421,47.657501,M,-117.412277,47.657256
17,72000,44100,IL,Springfield city,111454,111454,"Springfield, IL Metropolitan Statistical Area",167,Springfield,-89.647003,39.799801,M,-89.643597,39.801052
25,67000,44140,MA,Springfield city,152082,152082,"Springfield, MA Metropolitan Statistical Area",13,Springfield,-72.594101,42.103298,M,-72.58929000000001,42.101253
29,70000,44180,MO,Springfield city,151580,151580,"Springfield, MO Metropolitan Statistical Area",77,Springfield,-93.2901,37.207298,M,-93.291557,37.208974
39,74118,44220,OH,Springfield city,65358,65358,"Springfield, OH Metropolitan Statistical Area",23,Springfield,-83.806,39.9244,M,-83.80673,39.925021
42,73808,44300,PA,State College borough,38420,38420,"State College, PA Metropolitan Statistical Area",27,State College,-77.859001,40.7943,M,-77.860698,40.793733
6,75000,44700,CA,Stockton city,243771,243771,"Stockton, CA Metropolitan Statistical Area",77,Stockton,-121.288,37.952999,M,-121.290749,37.953672
45,70405,44940,SC,Sumter city,39643,39643,"Sumter, SC Metropolitan Statistical Area",85,Sumter,,,M,-80.34235700000001,33.924342
36,73000,45060,NY,Syracuse city,147306,147306,"Syracuse, NY Metropolitan Statistical Area",67,Syracuse,-76.150497,43.048199,M,-76.14738800000001,43.049993
53,70000,45104,WA,Tacoma city,193556,193556,"Tacoma, WA Metropolitan Division",53,Tacoma,-122.44,47.2542,M,-122.44165,47.255129
12,70600,45220,FL,Tallahassee city,150624,150624,"Tallahassee, FL Metropolitan Statistical Area",73,Tallahassee,-84.281197,30.4405,M,-84.28065100000001,30.439772
12,71000,45300,FL,Tampa city,303447,303447,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",57,Tampa,-82.456398,27.9491,M,-82.45926900000001,27.946532
18,75428,45460,IN,Terre Haute city,59614,59614,"Terre Haute, IN Metropolitan Statistical Area",167,Terre Haute,-87.410004,39.465302,M,-87.413229,39.466492
48,72368,45500,TX,Texarkana city,34782,34782,"Texarkana, TX-Texarkana, AR Metropolitan Statistical Area",37,Texarkana,-94.037102,33.426701,M,-94.048249,33.425583
39,77000,45780,OH,Toledo city,313619,313619,"Toledo, OH Metropolitan Statistical Area",95,Toledo,-83.536598,41.654099,M,-83.53626,41.653811
20,71000,45820,KS,Topeka city,122377,122377,"Topeka, KS Metropolitan Statistical Area",177,Topeka,-95.675499,39.050999,M,-95.671177,39.049281
34,74000,45940,NJ,Trenton city,85403,85403,"Trenton-Ewing, NJ Metropolitan Statistical Area",21,Trenton,-74.759697,40.219101,M,-74.7594,40.217871
4,77000,46060,AZ,Tucson city,486699,486699,"Tucson, AZ Metropolitan Statistical Area",19,Tucson,-110.97,32.2211,M,-110.969749,32.221551
40,75000,46140,OK,Tulsa city,393049,393049,"Tulsa, OK Metropolitan Statistical Area",143,Tulsa,-95.990799,36.1521,M,-95.993329,36.149744
1,77256,46220,AL,Tuscaloosa city,77906,77906,"Tuscaloosa, AL Metropolitan Statistical Area",125,Tuscaloosa,-87.565498,33.209599,M,-87.565927,33.210493
48,74144,46340,TX,Tyler city,83650,83650,"Tyler, TX Metropolitan Statistical Area",423,Tyler,-95.302399,32.350899,M,-95.294298,32.347472
36,76540,46540,NY,Utica city,60651,60651,"Utica-Rome, NY Metropolitan Statistical Area",65,Utica,-75.231598,43.102001,M,-75.24275900000001,43.095802
13,78800,46660,GA,Valdosta city,43724,43724,"Valdosta, GA Metropolitan Statistical Area",185,Valdosta,,,M,-83.280918,30.834723
6,81666,46700,CA,Vallejo city,116760,116760,"Vallejo-Fairfield, CA Metropolitan Statistical Area",95,Vallejo,-122.259,38.1017,M,-122.254947,38.10083
48,75428,47020,TX,Victoria city,60603,60603,"Victoria, TX Metropolitan Statistical Area",469,Victoria,-97.004898,28.796499,T,-97.003567,28.805934
34,76070,47220,NJ,Vineland city,56271,56271,"Vineland-Millville-Bridgeton, NJ Metropolitan Statistical Area",11,Vineland,,,M,-75.02614,39.486191
51,82000,47260,VA,Virginia Beach city,425257,425257,"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area",810,Virginia Beach,,,M,-76.059198,36.755023
6,82954,47300,CA,Visalia city,91565,91565,"Visalia-Porterville, CA Metropolitan Statistical Area",107,Visalia,-119.295,36.330502,M,-119.292907,36.333771
48,76000,47380,TX,Waco city,113726,113726,"Waco, TX Metropolitan Statistical Area",309,Waco,-97.133598,31.5543,M,-97.14949799999999,31.571823
13,80508,47580,GA,Warner Robins city,48787,48787,"Warner Robins, GA Metropolitan Statistical Area",153,Warner Robins,,,M,-83.60686699999999,32.620832
26,84000,47644,MI,Warren city,138247,138247,"Warren-Troy-Farmington Hills, MI Metropolitan Division",99,Warren,,,M,-83.02852,42.511111
11,50000,47894,DC,Washington city,572059,572059,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",1,Washington,-77.032097,38.9002,M,-77.031958,38.890372
19,82425,47940,IA,Waterloo city,68747,68747,"Waterloo-Cedar Falls, IA Metropolitan Statistical Area",13,Waterloo,-92.3368,42.5014,M,-92.34215,42.493101
55,84475,48140,WI,Wausau city,38426,38426,"Wausau, WI Metropolitan Statistical Area",73,Wausau,-89.628502,44.962502,M,-89.630309,44.959529
54,85156,48260,WV,Weirton city,20411,20411,"Weirton-Steubenville, WV-OH Metropolitan Statistical Area ",29,Weirton,,,M,-80.589367,40.418383
53,77105,48300,WA,Wenatchee city,27856,27856,"Wenatchee-East Wenatchee, WA Metropolitan Statistical Area",7,Wenatchee,,,M,-120.304879,47.414158
12,76600,48424,FL,West Palm Beach city,82103,82103,"West Palm Beach-Boca Raton-Boynton Beach, FL Metropolitan Division",99,West Palm Beach,-80.052498,26.713301,M,-80.05269,26.71438
54,86452,48540,WV,Wheeling city,31419,31419,"Wheeling, WV-OH Metropolitan Statistical Area",69,Wheeling,-80.723198,40.067101,M,-80.721419,40.063964
20,79000,48620,KS,Wichita city,344284,344284,"Wichita, KS Metropolitan Statistical Area",173,Wichita,-97.337502,37.686901,M,-97.33557999999999,37.68698
48,79000,48660,TX,Wichita Falls city,104197,104197,"Wichita Falls, TX Metropolitan Statistical Area",485,Wichita Falls,-98.4916,33.906799,M,-98.500987,33.908302
42,85312,48700,PA,Williamsport city,30706,30706,"Williamsport, PA Metropolitan Statistical Area",81,Williamsport,,,M,-77.001407,41.240944
10,77580,48864,DE,Wilmington city,72664,72664,"Wilmington, DE-MD-NJ Metropolitan Division",3,Wilmington,-75.549698,39.7435,M,-75.55083999999999,39.740234
37,74440,48900,NC,Wilmington city,75838,75838,"Wilmington, NC Metropolitan Statistical Area",129,Wilmington,-77.9487,34.2281,M,-77.94599,34.234971
51,86720,49020,VA,Winchester city,23585,23585,"Winchester, VA-WV Metropolitan Statistical Area",840,Winchester,,,M,-78.16404900000001,39.184
37,75000,49180,NC,Winston-Salem city,185776,185776,"Winston-Salem, NC Metropolitan Statistical Area",67,Winston-Salem,-80.246803,36.097599,M,-80.24108699999999,36.099623
25,82000,49340,MA,Worcester city,172648,172648,"Worcester, MA Metropolitan Statistical Area",27,Worcester,-71.800301,42.263802,M,-71.802188,42.263412
53,80010,49420,WA,Yakima city,71845,71845,"Yakima, WA Metropolitan Statistical Area",77,Yakima,-120.505,46.599098,M,-120.507049,46.604126
42,87048,49620,PA,York city,40862,40862,"York-Hanover, PA Metropolitan Statistical Area",133,York,-76.726997,39.961601,M,-76.72429,39.964531
39,88000,49660,OH,Youngstown city,82026,82026,"Youngstown-Warren-Boardman, OH-PA Metropolitan Statistical Area",99,Youngstown,-80.648598,41.099998,M,-80.650789,41.098102
6,86972,49700,CA,Yuba City city,36758,36758,"Yuba City, CA Metropolitan Statistical Area",101,Yuba City,,,M,-121.619459,39.140783
4,85540,49740,AZ,Yuma city,77515,77515,"Yuma, AZ Metropolitan Statistical Area",27,Yuma,,,M,-114.624609,32.684851
